"","x"
"1677",3437
"1678",4170
"1679",94104
"1680",23160
"1681",7220
"1682",89944
"1683",9776
"1684",3122
"1685",11022
"1686",2983
"1687",8864
"1688",4285
"1689",55746
"1690",4815
"1691",7263
"1692",6102
"1693",1854
"1694",3621
"1695",5764
"1696",56339
"1697",6790
"1698",862
"1699",23225
"1700",220988
"1701",23348
"1702",8775
"1703",162
"1704",79441
"1705",3223
"1706",466
"1707",5347
"1708",2665
"1709",652
"1710",54939
"1711",55143
"1712",10788
"1713",4321
"1714",51316
"1715",79833
"1716",7133
"1717",7042
"1718",6894
"1719",51011
"1720",329
"1721",54788
"1722",10384
"1723",5932
"1724",1474
"1725",4628
"1726",23014
"1727",23122
"1728",4811
"1729",3192
"1730",104
"1731",7163
"1732",6578
"1733",51491
"1734",57502
"1735",1043
"1736",1827
"1737",4088
"1738",969
"1739",10274
"1740",5876
"1741",27065
"1742",55758
"1743",6814
"1744",55757
"1745",55035
"1746",27236
"1747",22841
"1748",3157
"1749",23365
"1750",1798
"1751",3265
"1752",79666
"1753",55970
"1754",4929
"1755",1410
"1756",1759
"1757",4048
"1758",79890
"1759",3052
"1760",5236
"1761",9603
"1762",66008
"1763",7100
"1764",79006
"1765",51230
"1766",26097
"1767",3226
"1768",54955
"1769",2180
"1770",9377
"1771",3189
"1772",25928
"1773",51065
"1774",10299
"1775",8876
"1776",11346
"1777",2633
"1778",829
"1779",55634
"1780",64135
"1781",22998
"1782",4237
"1783",9308
"1784",26511
"1785",11153
"1786",26071
"1787",1794
"1788",79886
"1789",23324
"1790",3684
"1791",79582
"1792",55196
"1793",64231
"1794",10129
"1795",23243
"1796",10205
"1797",613
"1798",8495
"1799",23360
"1800",10776
"1801",5514
"1802",8837
"1803",716
"1804",5580
"1805",81035
"1806",7113
"1807",23303
"1808",3141
"1809",7431
"1810",3309
"1811",1491
"1812",6387
"1813",4691
"1814",51031
"1815",23017
"1816",10197
"1817",3394
"1818",6428
"1819",3652
"1820",6541
"1821",5080
"1822",439921
"1823",55326
"1824",22977
"1825",6155
"1826",8559
"1827",10782
"1828",8344
"1829",54849
"1830",23603
"1831",2553
"1832",51024
"1833",4097
"1834",891
"1835",3416
"1836",64856
"1837",9147
"1838",55040
"1839",585
"1840",6362
"1841",6364
"1842",5909
"1843",51115
"1844",3434
"1845",4205
"1846",9540
"1847",57188
"1848",11079
"1849",55876
"1850",3985
"1851",4354
"1852",8667
"1853",5880
"1854",2673
"1855",6637
"1856",4250
"1857",60682
"1858",6709
"1859",84914
"1860",51056
"1861",93129
"1862",10048
"1863",3601
"1864",28962
"1865",79710
"1866",4069
"1867",10561
"1868",51111
"1869",51324
"1870",5019
"1871",8731
"1872",10539
"1873",79651
"1874",7097
"1875",822
"1876",39
"1877",8694
"1878",2313
"1879",57020
"1880",64601
"1881",10928
"1882",7291
"1883",23474
"1884",240
"1885",6372
"1886",3134
"1887",47
"1888",27429
"1889",3033
"1890",79026
"1891",9337
"1892",3294
"1893",157680
"1894",57645
"1895",26273
"1896",2124
"1897",5156
"1898",5108
"1899",4255
"1900",79152
"1901",10025
"1902",6591
"1903",55273
"1904",55819
"1905",634
"1906",51377
"1907",5152
"1908",57553
"1909",2017
"1910",753
"1911",2000
"1912",8446
"1913",5034
"1914",23639
"1915",5332
"1916",7226
"1917",1101
"1918",64428
"1919",23333
"1920",55034
"1921",84549
"1922",5698
"1923",3903
"1924",1727
"1925",10440
"1926",10981
"1927",2932
"1928",25909
"1929",51340
"1930",10040
"1931",10016
"1932",7283
"1933",26576
"1934",9823
"1935",64422
"1936",5824
"1937",10126
"1938",9935
"1939",57050
"1940",54434
"1941",51760
"1942",23242
"1943",51232
"1944",81858
"1945",8764
"1946",22929
"1947",54482
"1948",9869
"1949",55612
"1950",10939
"1951",53405
"1952",8434
"1953",2734
"1954",2173
"1955",5634
"1956",399665
"1957",79894
"1958",28951
"1959",8717
"1960",1678
"1961",29842
"1962",9202
"1963",3725
"1964",6676
"1965",81575
"1966",9674
"1967",6046
"1968",150759
"1969",3012
"1970",144699
